ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
80,c_222.12_lab,Reactor Coolant Piping System (Field Cost 222) labor cost,11.38158584,million,NULL,NULL,NULL
81,c_222.12_mat,Reactor Coolant Piping System (Field Cost 222) material cost,1.119106974,million,NULL,NULL,NULL
82,c_222.13_fac,Steam Generator Equipment (Field Cost 222) factory cost,0.075141237,million,NULL,NULL,NULL
83,c_222.13_lab,Steam Generator Equipment (Field Cost 222) labor cost,2.106281654,million,NULL,NULL,NULL
84,c_222.13_mat,Steam Generator Equipment (Field Cost 222) material cost,0.210628165,million,NULL,NULL,NULL
85,c_222.14_fac,Pressurizing System (Field Cost 222) factory cost,0.015028247,million,NULL,NULL,NULL
86,c_222.14_lab,Pressurizing System (Field Cost 222) labor cost,0.281934576,million,NULL,NULL,NULL
87,c_222.14_mat,Pressurizing System (Field Cost 222) material cost,0.028192508,million,NULL,NULL,NULL
88,c_222_fac,Main heat transfer transport system factory cost,8.265356805,million,NULL,NULL,NULL
89,c_222_lab,Main heat transfer transport system labor cost,18.14392675,million,NULL,NULL,NULL
90,c_222_mat,Main heat transfer transport system material cost,1.795340116,million,NULL,NULL,NULL
91,c_zero,place holder for weight,0,ton,NULL,NULL,NULL
92,c_220A.222_ss_weight,weight of the stainless steel reactor coolant piping,36.740982,ton,NULL,NULL,NULL
93,c_220A.2121_ss_weight,weight of the stainless steel lower internals,102.5,ton,NULL,NULL,NULL
94,c_220A.2122_ss_weight,weight of the stainless steel upper internals,102.5,ton,NULL,NULL,NULL
